637.077	-3.120410	16.296305	1265.994507
Event	118	Guns	2
605.5	9.541331	8.767004	1226.489868
639.852	28.390579	20.879738	1269.068481
Event	119	Guns	2
574.76	-12.363212	-45.654800	1186.659058
586.265	12.784992	27.393318	1201.856934
Event	120	Guns	2
567.313	-27.576586	-0.382357	1177.768555
585.983	-23.497194	3.812168	1201.644165
Event	121	Guns	2
587.742	-20.379248	-14.614956	1203.850464
584.022	-18.005428	-7.795075	1199.228760
Event	122	Guns	2
580.73	13.741250	-10.213964	1195.082886
634.44	5.445415	-6.159136	1262.791260
Event	123	Guns	2
556.22	-15.374030	-21.287224	1163.572388
566.568	35.293434	15.191969	1176.510742
Event	124	Guns	2
600.305	38.983269	-10.302012	1219.340210
568.522	-24.916519	23.929625	1179.130981
Event	125	Guns	2
619.127	15.193604	4.182051	1243.579102
614.301	45.700008	-14.845157	1236.693115
Event	126	Guns	2
613.194	-28.671862	39.133995	1235.282837
566.172	-3.512467	42.191792	1175.869629
Event	127	Guns	2
632.59	-43.947613	17.753529	1259.620605
612.755	-12.636002	19.507753	1235.465088
Event	128	Guns	2
626.565	1.267624	43.296616	1252.239868
614.544	8.481046	12.054830	1237.843262
Event	129	Guns	2
646.643	-22.618603	35.380783	1277.305664
562.123	2.058573	33.390728	1170.967529
Event	130	Guns	2
589.756	-22.432844	-27.094810	1206.152710
612.675	-44.501896	-11.753744	1234.726318
Event	131	Guns	2
604.236	-18.982138	-9.955957	1224.777832
625.298	12.473183	1.280403	1251.342529
Event	132	Guns	2
597.058	-7.350419	7.373022	1215.861328
625.433	-18.995871	44.037502	1250.654175
Event	133	Guns	2
567.078	-45.525913	9.354880	1176.873657
622.978	23.470282	-17.174183	1248.163208
Event	134	Guns	2
610.561	6.426542	-44.530949	1232.105835
574.007	-5.517467	-20.571943	1186.450806
Event	135	Guns	2
579.842	26.340549	-31.973900	1193.356445
620.42	8.414295	-38.014690	1244.690674
Event	136	Guns	2
623.754	-8.476386	-14.569752	1249.360352
622.064	28.357204	19.509964	1246.883545
Event	137	Guns	2
643.846	-2.944832	37.423115	1273.970459
569.669	17.746862	41.107021	1180.253906
Event	138	Guns	2
637.312	-44.235283	-18.815588	1265.483765
570.725	-24.041670	1.636760	1182.206665
Event	139	Guns	2
590.182	-3.280504	-7.222884	1207.179077
562.979	-3.183384	-33.147991	1172.069092
Event	140	Guns	2
582.949	-44.443119	6.565888	1197.183228
563.028	27.524267	5.084278	1172.271606
Event	141	Guns	2
602.978	39.444870	19.284401	1222.590576
560.478	30.397446	27.771715	1168.611572
Event	142	Guns	2
596.411	-14.050929	13.875605	1214.927979
611.491	-35.068352	18.024221	1233.466187
Event	143	Guns	2
566.082	-35.430859	7.064548	1175.961304
608.469	-11.518032	-0.622689	1230.241577
Event	144	Guns	2
609.511	3.846433	-32.697723	1231.165771
609.456	11.805946	-29.398527	1231.130249
Event	145	Guns	2
579.553	-19.196104	22.045164	1193.349243
556.997	-34.237167	25.315023	1164.088501
Event	146	Guns	2
572.189	-12.089884	-19.089449	1184.106567
606.859	-13.857777	-38.327961	1227.592407
Event	147	Guns	2
587.35	24.153063	18.118664	1203.235352
570.476	19.629414	40.087746	1181.291870
Event	148	Guns	2
630.195	-20.210300	14.600507	1257.276367
620.572	42.505497	-6.253624	1244.748901
Event	149	Guns	2
600.755	-40.132370	0.383323	1219.915527
568.817	35.016640	16.204666	1179.383789
Event	150	Guns	2
593.632	-2.548189	8.289018	1211.542725
569.056	23.255022	-25.138750	1179.823364
Event	151	Guns	2
563.598	-24.454008	20.261402	1172.906494
616.476	-31.642197	9.631358	1239.914795
